Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,A&M Lever,Evidence Strength,Evidence (Verbatim),Source Document,Line Reference
11,"IFB Points Profitability — 20-25% Stores Not Profitable","20-25% of IFB Points retail stores unprofitable while expansion continues from 521 to 700+ target",negative,FY25,High,"Expanding a retail network where 1 in 4 stores loses money compounds losses; indicates flawed unit economics in owned-retail model",Channel & Distribution,STRONG,"""20-25% of IFB Points are not profitable"" | 521 stores, target 700+ — expanding despite unprofitable subset","Q3 FY25 Transcript | Q2 FY26 Transcript",Section 6c
12,"Supply Chain Vulnerability — Stock-Outs and Import Delays","Stock-outs in washer category (both FL and TL) and 90-day import cycles with customs delays from China",negative,Q2-Q3 FY25,High,"Revenue loss from stock-outs in core highest-margin category combined with structural import lead times creates recurring availability risk",Supply Chain/Logistics,STRONG,"""we were stock out both in top load and in front load... company capacity was sold"" | ""Whatever we produce, everything is sold in washer. We could have sold more, but we did not have stock""","Bikramjit Nag, Q2 FY25 Transcript | Kartik Muchandi, Q2 FY25 Transcript",Section 3/Section 4
13,"Fixed Cost Structure Not Right-Sized","7-8 cost heads identified as oversized with Rs 10-12 Cr/month optimization opportunity (Rs 120-144 Cr annualized)",negative,FY25-FY26,High,"Management-identified fixed cost overhang across office costs, defectives, e-waste, travel indicates organizational bloat requiring restructuring",SG&A & Overheads,STRONG,"""the fixed costs that we were carrying were not right-sized. So there are 7 or 8 lines of cost heads... that opportunity is anywhere between 10 to 12 CR a month""","Rajshankar Ray, Q1 FY25 Transcript",Section 5c
14,"Counter Manning Gaps Persistent","Distribution and counter manning gaps persist across key account channels; team acknowledged as inadequate for AC category",negative,Q1 FY25-FY26,High,"Persistent go-to-market execution gaps at point of sale directly limit revenue conversion despite brand and product investments",Channel & Distribution,STRONG,"""We still have not got distribution end all right. The team is still not right as far as AC is concerned"" | ""currently, there are a percentage of counters, specifically the key account counters, where IFB has a product display, but IFB doesn't have a representative""","Bikramjit Nag, Q2 FY25 Transcript | Rajshankar Ray, Q1 FY25 Transcript",Section 5e
15,"No Dividend Declared","Board decided not to recommend dividend for FY25 to conserve resources for working capital, capex, and acquisitions",negative,FY25,High,"No dividend signals capital scarcity prioritization over shareholder returns despite zero net debt position and Rs 293 Cr cash",Working Capital,STRONG,"""Your Directors have decided not to recommend any dividend for the financial year under review to conserve resources for working capital, capital expenditure projects, acquisition etc.""","Board's Report, Annual Report",Section 6d
16,"IFBRL (Refrigerator) Still Loss-Making at PAT","Refrigerator subsidiary reported Rs 44.17 Cr loss despite Rs 352 Cr revenue and 118.83% growth; only PBDIT positive since Feb 2025",negative,FY25,High,"Subsidiary burning capital at scale; PBDIT-positive only since Feb 2025 means full-year PAT breakeven still distant; production at 40K/month vs 60K needed",Manufacturing Footprint,STRONG,"""During the year under review IFBRL has achieved a turnover of Rs 352.03 crs... the company reported a loss of Rs 44.17 crs"" | ""IFBRL has turned positive at PBDIT level since Feb, 25"" | ""They need to produce about 60,000/month... they are at about 40,000/month in Q1 FY26""","Board's Report, Annual Report | Chairman's Message, Annual Report",Section 3
17,"Revenue Growth Below Internal Targets — 14.6% vs 25%+","FY25 standalone revenue growth 14.58% vs management's repeatedly stated 25%+ growth target",negative,FY25,Medium,"Significant gap between aspiration and delivery on topline undermines credibility of forward guidance across all categories",Operations/Efficiency,MODERATE,"""The year 2024-25 ended with a standalone income of Rs 4,977.19 cr"" — 14.58% growth vs internal 25%+ target repeatedly referenced in transcripts","Chairman's Message, Annual Report | Multiple Transcripts",Section 1
18,"BOM Cost Delay on New Models","New washer model BOM cost target missed by two months at launch impacting gross profit during critical new model introduction",negative,Q2 FY25,Medium,"Product launch cost discipline failure indicates weak cross-functional coordination between R&D and procurement",Procurement/Sourcing,STRONG,"""new model, the cost down was two months delayed. The BOM cost was not achieved in the models when it was launched. That came two months later. That affected the GP.""","Bikramjit Nag, Q2 FY25 Transcript",Section 4
19,"Currency Risk — INR Depreciation Unbudgeted","INR depreciation to 84+ not budgeted; amplified import cost pressure on 1/3 imported raw materials",negative,FY25,Medium,"Unhedged FX exposure on one-third imported materials compounds margin pressure when currency moves against budget assumptions",Procurement/Sourcing,STRONG,"""internally, when we did the budget for the year, we never thought rupee will be at say, 84, whatever, now, so soon. So, that has been an issue""","Bikramjit Nag, Q2 FY25 Transcript",Section 4
20,"Customer Incentive Creep — 20% to 23%","Customer incentives as percentage of gross sales crept from 20% to 22-23% in FY24",watch,FY24,Medium,"Incentive escalation erodes net realization and signals growing competitive pressure or channel dependency on scheme spend",Pricing/Commercial,STRONG,"""Gross sales minus incentive... has gone up from 20% to 23% -- to 22%, 23% in FY '24""","Shreyansh Jain, Q1 FY25 Transcript",Section 6b
21,"AC Distribution Gaps","AC distribution and team depth insufficient across branches; acknowledged by management as critical shortcoming",negative,FY25-FY26,Medium,"Inadequate distribution infrastructure for AC category limits addressable market and undermines market share ambitions tied to 10% share target",Channel & Distribution,STRONG,"""We still have not got distribution end all right. The team is still not right as far as AC is concerned... in every branch, we need further depth... more number of individuals to focus on these categories""","Bikramjit Nag, Q2 FY25 Transcript",Section 5e
22,"Compressor Supply Gap","Compressor supply gap identified as production constraint for appliance categories",negative,FY25-FY26,Medium,"Component supply bottleneck in critical imported input limits production capacity and compounds import dependency structural risk",Procurement/Sourcing,MODERATE,"""compressor supply gap""","Q3 FY25 Transcript",Section 7
23,"Kitchen Appliance Segment Underperformance","Modular kitchen revenue negligible at Rs 1.4 Cr/quarter in Q2 FY25; Rs 6.03 Cr Q3 FY26; Rs 5 Cr/month target not achieved",negative,FY25-FY26,Medium,"New segment operating well below breakeven with revenue run-rate far from target; capital and management attention consumed without return",Product Portfolio,STRONG,"""modular kitchen, we did Rs. 1.4 crore revenue in one quarter. So, I am sure that this vertical must be loss making"" | Kitchen revenue Rs 6.03 Cr Q3 FY26, target Rs 5 Cr/month not achieved","Keshav Garg, Q2 FY25 Transcript | Q3 FY26 Investor Presentation",Section 6a
24,"BLDC Motor Software Delays","BLDC motor field trials delayed due to unavailable motor drive software causing division losses and missed launch targets",negative,FY25,Medium,"Software dependency in hardware division creates technology risk and delays commercialization timeline for import substitution initiative",Operations/Efficiency,STRONG,"""due to the unavailability of motor drive software for field trials... The division has incurred losses of Rs 5.75 crores""","MD&A, Annual Report",Section 3
25,"Strategic Overextension — 7+ Simultaneous Initiatives","A&M cost reduction, BLDC motors, AED electronics, 3 M&A proposals, IFB Points 700+, AC ultimatum, refrigerator ramp-up, CKD imports, Gujarat Rs 200 Cr investment — all running with no CEO HAD",watch,FY26,Medium,"Management bandwidth stretched across too many strategic initiatives simultaneously without dedicated HAD leadership creates execution risk across all programs",Multiple,DIRECTIONAL,"A&M cost reduction + BLDC motors + AED electronics + 3 M&A proposals + IFB Points 700+ + AC ultimatum + refrigerator ramp-up + CKD imports + Gujarat Rs 200 Cr investment — all running with no CEO HAD","Multiple Sources — All 7 quarterly transcripts, Annual Report FY24-25",Section 2
26,"Investor Frustration with Disclosure Gap","Large gap between results declaration and earnings call timing; investor flags insider trading risk",watch,FY25,Medium,"Governance and transparency gap erodes investor confidence and creates regulatory risk",N/A,STRONG,"""we have a very large gap between our results and our concall. It leaves a lot to be desired for a company of our stature because that leaves room for insider trading""","Viraj Mehta, Q2 FY25 Transcript",Section 10
27,"M&A Execution Risk — 49 Proposals, 0 Closed","49 M&A targets reviewed for Engineering Division with zero completed; one deal fell through at final stage; 3 active proposals remain",watch,FY25-FY26,Medium,"High M&A pipeline activity with zero closures indicates either unrealistic criteria or execution inability; management attention consumed without result",Operations/Efficiency,STRONG,"""about 49 companies have been seen so far; we nearly finalized with one in February 2025"" but deal fell through as ""foreign company wanted to re-enter the business after 3 years, which was not acceptable"" | ""Currently three proposals are under active consideration""","Chairman's Message | MD&A, Annual Report",Section 2
28,"BEE Energy Norms Upgrade — Cost Pressure on ACs","BEE energy levels upgraded by up to 13% effective January 1, 2026 adding cost to AC production",watch,Jan 2026,Medium,"Regulatory cost escalation in already margin-challenged AC category further strains viability and complicates the 10% share target",Pricing/Commercial,STRONG,"""With effect from 1st Jan 2026 the energy levels will be upgraded by upto 13%""","MD&A, Annual Report",Section 4
29,"Washer Degrowth in Q1 FY25","Degrowth in core washer category in Q1 FY25 before new models launched",negative,Q1 FY25,Medium,"Degrowth in flagship highest-margin category signals market share or execution issues in primary revenue driver",Product Portfolio,STRONG,"""we have had degrowth in the washer's category... We are not happy about what we have been able to do in the washer category""","Rajshankar Ray, Q1 FY25 Transcript",Section 1
30,"Logistics Cost Rs 154 Cr","Logistics cost at Rs 154 Cr in Q2 FY26 identified in cost structure",watch,Q2 FY26,Medium,"Significant logistics cost base represents optimization opportunity within supply chain restructuring",Supply Chain/Logistics,STRONG,"""Logistics cost was Rs 154 Cr""","Q2 FY26 Transcript",Section 5c
31,"Aggressive People Replacement Signaled","Management signaled 'aggressive people replacement' in Q3 FY26 as part of cost reduction and performance management",watch,Q3 FY26,Medium,"Workforce restructuring signal indicates dissatisfaction with current team capabilities alongside broader cost reduction mandate",Workforce,MODERATE,"""aggressive people replacement""","Q3 FY26 Transcript",Section 5c
32,"Calcutta Stock Exchange Delisting","Voluntary delisting from Calcutta Stock Exchange effective March 2025",informational,Mar 2025,Low,"Administrative simplification; no material impact on liquidity given BSE/NSE listings",N/A,STRONG,"""The Equity shares of the Company have been voluntarily delisted from The Calcutta Stock Exchange Limited with effect from 18th March, 2025""","Board's Report, Annual Report",Section 2
33,"Top Load Washer Outperformance +21% vs Market 4%","Top load washer segment grew 21% YTD in 9M FY26 vs market growth of 4% — 5x outperformance; >11 kg segment grew 98%",positive,9M FY26,Low,"Strong outperformance in top load segment demonstrates category-specific competitive strength and successful premiumization",Product Portfolio,STRONG,"""TL +21% YTD vs market 4%"" | >11 kg segment grew 98%","Q3 FY26 Investor Presentation",Section 1/Section 8
34,"A&M Cost Savings Delivery — Rs 35 Cr in 9M","A&M engagement delivering measurable cost savings of Rs 35 Cr in first 9 months with Rs 44 Cr expected by Q4 FY26",positive,9M FY26,Low,"Early savings realization validates A&M engagement ROI though pace needs acceleration for Rs 200 Cr target over 18 months",Procurement/Sourcing,STRONG,"""A&M: Rs 35 Cr realized YTD, Rs 44 Cr expected Q4""","Q3 FY26 Investor Presentation",Section 2
35,"Engineering Division Strong ROCE 34% and 15.9% PBDIT","Engineering division operating at 34% ROCE with 15.9% PBDIT margin on Rs 835.15 Cr revenue (+7.1% growth)",positive,FY25,Low,"High-return division demonstrates operational capability exists within IFB; potential model for transformation of other segments",Operations/Efficiency,STRONG,"""ROCE at present Engineering division operates at around 34%"" | PBDIT 15.9% margin | Revenue Rs 835.15 Cr (+7.1%)","Bikramjit Nag, Q1 FY25 Transcript | MD&A, Annual Report",Section 1/Section 3
36,"AC First EBITDA Positive Q1 FY25","AC product category achieved positive EBITDA for first time at Rs 8.78 Cr (2.72% of net revenue) in Q1 FY25",positive,Q1 FY25,Low,"Milestone achievement in historically loss-making category though sustainability uncertain given subsequent -5% degrowth in FY26",Product Portfolio,STRONG,"""AC product category, in Q1 of '24-'25, we achieved the sale of 1.37 lakh units... and we have achieved positive EBITDA for the first time for INR8.78 crores, which is 2.72% our net revenue""","Soumitra Goswami, Q1 FY25 Transcript",Section 3
37,"IFBRL Turned PBDIT Positive","Refrigerator subsidiary turned PBDIT positive since February 2025 with 118.83% revenue growth to Rs 352 Cr",positive,Feb 2025,Low,"Operational breakeven milestone for subsidiary though PAT-level losses of Rs 44 Cr still significant; ramp to 60K/month needed",Manufacturing Footprint,STRONG,"""IFBRL has turned positive at PBDIT level since Feb, 25 riding on gradual increase in volume"" | Revenue Rs 352 Cr (+118.83%)","Chairman's Message, Annual Report",Section 3
38,"Net Debt Zero with Rs 293 Cr Cash","Company is net debt zero as of March 2025 and June 2025; cash balance Rs 293.69 Cr (Rs 344 Cr by May 2025)",positive,FY25,Low,"Strong balance sheet provides financial flexibility for turnaround execution without leverage constraints",Working Capital,STRONG,"""The Company is Net Debt zero as on 31st March 25 and also on 30th June, 2025"" | Cash Rs 293.69 Cr, debt Rs 97.70 Cr (reduced to Rs 19.59 Cr by Jun 25)","Chairman's Message, Annual Report",Section 5a
39,"EV-Neutral/Positive Order Bookings 51%","Engineering division order bookings reflect 51% EV-neutral and EV-positive mix for proactive de-risking against EV transition",positive,FY25,Low,"Portfolio de-risking in engineering division against EV transition threat with marquee new customers (OLA Electric, ABB, Modine Thermal Systems)",Product Portfolio,STRONG,"""Order bookings totalled Rs 134 crore... reflecting a 51 percent mix of EV-neutral and EV-positive bookings to de-risk against accelerating EV penetration""","MD&A, Annual Report",Section 1
40,"New Washer Models Well Received — Full Capacity Sold","New washer models driving 20%+ topline growth with full capacity utilization; GFK confirms market share gain",positive,Q3 FY25-FY26,Low,"Post-changeover recovery validates product strategy despite earlier Rs 70 Cr execution failure",Product Portfolio,STRONG,"""September, October... more than 20% growth in topline. And whatever we produce, everything is sold in washer"" | ""GFK shows there has been a significant brand pull and the market share has been gained by IFB""","Kartik Muchandi, Q2 FY25 Transcript | Bikramjit Nag, Q2 FY25 Transcript",Section 8
41,"BLDC Motor Commercial Production Started","Commercial production of BLDC motors for front load washing machines started Q4 FY25; AC motor trial production began March 2025",positive,Q4 FY25,Low,"Backward integration milestone reduces import dependency for key component; opens OEM revenue stream",Manufacturing Footprint,STRONG,"""We have started commercial production of BLDC motors for Front Load washing machines in Q3 of this financial year. The Commercial production of AC motors will start from Q2 FY 25-26""","Chairman's Message, Annual Report",Section 3
42,"Refrigerator +75% Growth YTD","Refrigerator segment grew 75% year-to-date in 9M FY26 from small base via IFBRL ramp-up",positive,9M FY26,Low,"Strong volume ramp in refrigerator category validates category entry though profitability still pending at PAT level",Product Portfolio,STRONG,"""Ref +75% YTD""","Q3 FY26 Investor Presentation",Section 1
43,"3-in-1 Washer Dryer Refresher — India's First","India's first 3-in-1 Washer/Dryer/Refresher launched April 2025 with 9/6/3 Kg capacity",positive,Apr 2025,Low,"Product innovation leadership in premium washer segment strengthens brand positioning and category creation",Product Portfolio,STRONG,"""introducing 3 in 1 Washer/Dryer/Refresher having capacity of 9/6/3Kg... This product is a unique global platform and India's first 3-in-1 product offering""","MD&A, Annual Report",Section 2
44,"AiDOS AI Platform Launched","AiDOS AI platform launched for connected appliances enabling energy optimization and smart usage",positive,FY26,Low,"Digital capability investment signals modernization intent for product differentiation",Product Portfolio,MODERATE,"""AiDOS platform launched"" | ""AiDOS AI platform for connected appliances""","Q3 FY26 Investor Presentation | Annual Report",Section 2/Section 5f
45,"New Marquee Engineering Customers","Engineering division added OLA Electric, ABB, Modine Thermal Systems, and Jindal Defence Systems as customers",positive,FY25,Low,"Customer diversification in engineering reduces concentration risk and validates capabilities in EV-adjacent segments",Channel & Distribution,STRONG,"""The division added marquee customers OLA Electric, ABB, Modine Thermal Systems, and Jindal Defence Systems""","MD&A, Annual Report",Section 2/Section 9
46,"Service Revenue Rs 150 Cr — Undermonetized 9M+ Customer Base","9 million+ customer base with service revenue ~Rs 150 Cr/quarter; AMC income Rs 35-38 Cr; high potential for additives and accessories",positive,FY25,Low,"Large installed base represents recurring revenue opportunity if properly monetized through additives, accessories, and AMCs",Pricing/Commercial,STRONG,"""IFB's 9 million plus customer base has a high potential for the company to generate revenues through the sale of additives and accessories"" | Service revenue ~Rs 150 Cr","MD&A, Annual Report | Q2 FY25 Transcript",Section 6d/Section 10
47,"Electronic Controllers Localized","New generation of electronic controllers now manufactured in India, replacing previously imported components",positive,FY25,Low,"Meaningful import substitution achievement reduces procurement risk and cost for key component",Procurement/Sourcing,STRONG,"""Our focus on localising manufacturing within India has resulted in a new generation of electronic controllers' models being manufactured in India""","MD&A, Annual Report",Section 7
48,"IFB Points Expansion to 521 (Target 700+)","IFB Points exclusive brand stores expanded from 215 to 521 with 700+ target; contributing ~15% of HAD sales",positive,FY25-FY26,Low,"Exclusive retail expansion builds brand presence and higher per-store profitability vs LFR channels (though 20-25% unprofitable)",Channel & Distribution,STRONG,"""IFB Point... 521 stores"" | ""we want IFB Point to be maintained at least 15% of our sales""","Q2 FY26 Transcript | Bikramjit Nag, Q2 FY25 Transcript",Section 6c/Section 11
49,"PLI Scheme for ACs — Rs 9 Cr Incentive","PLI scheme provided Rs 9 Cr incentive for AC (Rs 6 Cr earned in FY24-25); M-SIPS delivered Rs 23.33 Cr for Goa washer plant",positive,FY25,Low,"Government incentive alignment supports domestic manufacturing and partially offsets cost pressures",Pricing/Commercial,MODERATE,"PLI Rs 9 Cr incentive (Rs 6 Cr earned FY24-25) | M-SIPS Rs 23.33 Cr for washer plant Goa","Annual Report FY24-25",Section 4
50,"Advanced Electronics Division (AED) — New Growth Engine","New Advanced Electronics Division being set up with dedicated Bangalore plant; electronics manufacturing riding Make in India wave",positive,FY26,Low,"New vertical creation with dedicated plant investment signals long-term diversification and technology capability building",Manufacturing Footprint,MODERATE,"AED new division, dedicated Bangalore plant","Annual Report FY24-25 | Q3 FY26 Transcript",Section 2
51,"Gujarat Rs 200 Cr Engineering Investment","Rs 200 Cr Gujarat investment announced for engineering division expansion",positive,FY26,Low,"Capital commitment to high-margin engineering division signals confidence in growth trajectory and 3x ambition",Manufacturing Footprint,MODERATE,"Gujarat Rs 200 Cr investment for engineering expansion","Q3 FY26 Transcript",Section 2
52,"Sales Promotion Expenditure Rationalized","Sales promotion spend cut from Rs 42 Cr to Rs 28 Cr in Q1 FY25 delivering Rs 13.7 Cr savings",positive,Q1 FY25,Low,"Promotional spend discipline improvement though broader A&P efficiency question remains at 6% of sales",SG&A & Overheads,STRONG,"""In our Sales Promotion expenditure head... pure sales promotion expenditure... has come down to INR28 crores. There is a gain of INR13.69 crores""","Soumitra Goswami, Q1 FY25 Transcript",Section 5c/Section 6b
53,"Washer Material Cost Reduced 100bps","Washer material cost reduced by 100 basis points (1%) vs prior year in Q2 FY25",positive,Q2 FY25,Low,"Incremental procurement improvement in core category validates cost reduction capability",Procurement/Sourcing,STRONG,"""the material cost has reduced by 100 basis points, which is 1% with respect to last year""","Kartik Muchandi, Q2 FY25 Transcript",Section 4
54,"4-Year Refrigerator Warranty Launched","4-year refrigerator warranty launched in Q3 FY25 signaling product quality confidence",positive,Q3 FY25,Low,"Extended warranty signals confidence in IFBRL product quality and supports premium positioning",Product Portfolio,MODERATE,"""4-year refrigerator warranty launched""","Q3 FY25 Transcript",Section 10
55,"Engineering M&A Pipeline — 3 Active Proposals","3 active M&A proposals under consideration for Engineering Division from 49 evaluated; Rs 150-800 Cr range",positive,FY26,Low,"Active inorganic growth pipeline for high-margin engineering division could accelerate 3x growth ambition",Operations/Efficiency,STRONG,"""about 49 companies have been seen so far"" | ""Currently three proposals are under active consideration"" | Rs 150-800 Cr sales range","Chairman's Message | MD&A, Annual Report",Section 2
56,"Dishwasher Market Leadership — Top 3 in Growing Market","Top 3 player in dishwasher market growing 30-35%; targeting 5,000+ monthly sales; only brand with 14, 15, 16 place settings",positive,FY25-FY26,Low,"Category leadership in high-growth premium segment supports brand positioning and margin profile",Product Portfolio,STRONG,"""our target is to reach 5000+ monthly sales and stabilize volumes at that level"" | Market growing 30-35% | 16 and 14 place settings comprising 70% of IFB's DW business","MD&A, Annual Report",Section 6a/Section 8
57,"MWO #2 Position — High-End 60% of Market","#2 position in microwave ovens; high-end segment comprising 60% of the market — margin-focused category",positive,FY25,Low,"Strong position in profitable segment of stable category provides reliable margin contribution",Product Portfolio,MODERATE,"MWO top 3 player (#2 position); high-end segment 60% of market","Annual Report FY24-25 | Q2 FY25 Transcript",Section 6a/Section 8
58,"Segment-wise EBITDA Not Disclosed","Segment-level gross margin and EBITDA for individual product categories not disclosed to investors despite repeated requests",not_disclosed,Ongoing,Informational,"Missing data prevents accurate segment-level profitability assessment for turnaround prioritization",N/A,N/A,"""we don't get gross margin for each division""","Viraj Mehta, Q2 FY25 Transcript",Evidence Gaps
59,"NPS/Customer Satisfaction Scores Not Disclosed","No NPS or customer satisfaction metrics disclosed in any document analyzed",not_disclosed,Ongoing,Informational,"Absence of customer satisfaction data prevents assessment of brand health and retention risk",N/A,N/A,"No NPS or customer satisfaction metrics disclosed in any document","Not Available",Evidence Gaps
60,"Exact Market Share Numbers Not Disclosed","Only directional market share claims without exact figures; references GFK data without sharing specifics",not_disclosed,Ongoing,Informational,"Without precise market share data competitive positioning assessment relies on proxy indicators",N/A,N/A,"Only directional claims — ""GFK shows there has been a significant brand pull and the market share has been gained by IFB""","Bikramjit Nag, Q2 FY25 Transcript",Evidence Gaps
61,"Contract Manufacturing Percentage Not Disclosed","Contract manufacturing as percentage of total production not disclosed; only OEM AC supply mentioned directionally",not_disclosed,Ongoing,Informational,"Missing data prevents assessment of manufacturing flexibility and margin structure",N/A,N/A,"Not mentioned in any document; only ""OEM sales will be over and above"" the brand target","Not Available",Evidence Gaps
62,"Working Capital Days Breakdown Not Disclosed","Working capital days breakdown not disclosed in transcripts or presentations",not_disclosed,Ongoing,Informational,"Missing data prevents cash conversion cycle analysis critical for turnaround working capital optimization",N/A,N/A,"Not disclosed in transcripts or presentations","Not Available",Evidence Gaps
63,"Warranty Cost as % of Revenue Not Disclosed","Warranty cost as percentage of revenue not disclosed; warranty reduction mentioned as initiative under Mr. Govindaraj",not_disclosed,Ongoing,Informational,"Missing data prevents quality cost assessment and after-sales margin analysis",N/A,N/A,"Not disclosed; warranty reduction mentioned as initiative","Not Available",Evidence Gaps
64,"Ad Spend ROI Metrics Not Disclosed","Advertising spend ROI metrics not disclosed; management acknowledges ROI not achieved on 6% A&P spend",not_disclosed,Ongoing,Informational,"Missing ROI data on 6% A&P spend prevents marketing efficiency optimization analysis",N/A,N/A,"""have we been able to get the ROIs or the returns that we should get, currently, the answer is no""","Rajshankar Ray, Q1 FY25 Transcript",Evidence Gaps
